path,feature_src,top1_name,top1_prob,top5,uncertain,present_species,alert,alert_hits,error
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs301945304_s1585653.mp3,"Processed (.npy, auto)",pseudacris_crucifer,46.43%,pseudacris_crucifer:46.43%; hyla_versicolor:45.76%; anaxyrus_americanus:5.27%; lithobates_clamitans:2.49%; lithobates_catesbeianus:0.05%,yes,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs301988354_s1585728.m4a,"Processed (.npy, auto)",hyla_versicolor,71.90%,hyla_versicolor:71.90%; lithobates_catesbeianus:16.00%; lithobates_clamitans:9.67%; pseudacris_crucifer:2.06%; anaxyrus_americanus:0.37%,no,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs302497631_s1587730.m4a,"Processed (.npy, auto)",lithobates_catesbeianus,82.72%,lithobates_catesbeianus:82.72%; lithobates_clamitans:7.76%; hyla_versicolor:6.48%; pseudacris_crucifer:1.81%; anaxyrus_americanus:1.24%,no,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs302690303_s1588472.wav,"Processed (.npy, auto)",lithobates_clamitans,70.65%,lithobates_clamitans:70.65%; lithobates_catesbeianus:29.01%; hyla_versicolor:0.31%; pseudacris_crucifer:0.02%; anaxyrus_americanus:0.01%,no,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs302746061_s1588747.mp3,"Processed (.npy, auto)",hyla_versicolor,93.59%,hyla_versicolor:93.59%; anaxyrus_americanus:4.78%; pseudacris_crucifer:1.40%; lithobates_catesbeianus:0.12%; lithobates_clamitans:0.11%,no,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs304122253_s1594904.m4a,"Processed (.npy, auto)",lithobates_catesbeianus,71.41%,lithobates_catesbeianus:71.41%; anaxyrus_americanus:19.73%; lithobates_clamitans:8.58%; hyla_versicolor:0.27%; pseudacris_crucifer:0.02%,no,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs304547338_s1596680.m4a,"Processed (.npy, auto)",pseudacris_crucifer,69.48%,pseudacris_crucifer:69.48%; lithobates_clamitans:10.26%; lithobates_catesbeianus:9.11%; hyla_versicolor:8.19%; anaxyrus_americanus:2.95%,yes,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs305519194_s1600978.m4a,"Processed (.npy, auto)",hyla_versicolor,98.10%,hyla_versicolor:98.10%; anaxyrus_americanus:0.98%; pseudacris_crucifer:0.87%; lithobates_clamitans:0.04%; lithobates_catesbeianus:0.02%,no,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs307397483_s1608826.mp3,"Processed (.npy, auto)",hyla_versicolor,59.11%,hyla_versicolor:59.11%; pseudacris_crucifer:26.72%; lithobates_clamitans:10.39%; lithobates_catesbeianus:3.75%; anaxyrus_americanus:0.03%,yes,,no,,
C:\Users\dhruv\OneDrive\Desktop\Frog Sound Project\FrogSoundProject\data\raw\inat_frogs\acris_blanchardi\acris_blanchardi_obs307398817_s1608842.mp3,"Processed (.npy, auto)",pseudacris_crucifer,63.99%,pseudacris_crucifer:63.99%; hyla_versicolor:35.77%; anaxyrus_americanus:0.12%; lithobates_clamitans:0.09%; lithobates_catesbeianus:0.03%,yes,,no,,
