CoreId,associatedObservationReference,Identifier,type,Rating,rightsHolder,creator,accessURI,format,variantLiteral,description,caption,resourceCreationTechnique,captureDevice,physicalSetting,license
987566@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987566,https://xeno-canto.org/sounds/uploaded/NXQKEWVNBN/wave/XC987566-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/NXQKEWVNBN/wave/XC987566-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC0
987566@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987566,https://xeno-canto.org/sounds/uploaded/NXQKEWVNBN/ffts/XC987566-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/NXQKEWVNBN/ffts/XC987566-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC0
987566@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987566,https://xeno-canto.org/sounds/uploaded/NXQKEWVNBN/XC987566-2025-04-12b.mp3,Sound,4,ChristianSW,ChristianSW,https://xeno-canto.org/sounds/uploaded/NXQKEWVNBN/XC987566-2025-04-12b.mp3,audio/mp3,ac:BestQuality,6 s,,automatic recording: no; bitrate: 320000 bps; bitrate mode: cbr; audio sampling rate: 48000 Hz; number of channels: 2; lossy,Zoom F3 | Audio Technica BP4025,Natural,CC0
987124@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987124,https://xeno-canto.org/sounds/uploaded/ISJUBXDPEZ/wave/XC987124-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/ISJUBXDPEZ/wave/XC987124-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC0
987124@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987124,https://xeno-canto.org/sounds/uploaded/ISJUBXDPEZ/ffts/XC987124-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/ISJUBXDPEZ/ffts/XC987124-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC0
987124@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987124,https://xeno-canto.org/sounds/uploaded/ISJUBXDPEZ/XC987124-AUD-20241222-WA0000.wav,Sound,5,Nicolas Betancourt Cardona,Nicolas Betancourt Cardona,https://xeno-canto.org/sounds/uploaded/ISJUBXDPEZ/XC987124-AUD-20241222-WA0000.wav,audio/wav,ac:BestQuality,54 s,,automatic recording: no; bitrate: 1536000 bps; bitrate mode: cbr; audio sampling rate: 48000 Hz; number of channels: 2; lossless,,Natural,CC0
987080@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987080,https://xeno-canto.org/sounds/uploaded/OMQICGNLVS/wave/XC987080-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OMQICGNLVS/wave/XC987080-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
987080@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987080,https://xeno-canto.org/sounds/uploaded/OMQICGNLVS/ffts/XC987080-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OMQICGNLVS/ffts/XC987080-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
987080@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987080,https://xeno-canto.org/sounds/uploaded/OMQICGNLVS/XC987080-0401_190331_Hrwandae.wav,Sound,4,Ruben Foquet,Ruben Foquet,https://xeno-canto.org/sounds/uploaded/OMQICGNLVS/XC987080-0401_190331_Hrwandae.wav,audio/wav,ac:BestQuality,35 s,,automatic recording: no; bitrate: 4608000 bps; bitrate mode: cbr; audio sampling rate: 96000 Hz; number of channels: 2; lossless,Roland | Sennheiser,Natural,CC BY-NC-SA 4.0
987050@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987050,https://xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/wave/XC987050-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/wave/XC987050-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
