id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,dynamicProperties,otherCatalogNumbers,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,kingdom,family,higherClassification,nomenclaturalCode,identificationRemarks,vernacularName,longitudeDecimal,latitudeDecimal,geodeticDatum,country,locality,verbatimElevation,recordedBy,eventDate,eventTime,verbatimEventDate,fieldNotes,behavior,sex,lifeStage,preparations,references,Associated Taxa,rightsHolder,license
987566@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987566,XC987566,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Zoom F3"",""microphone"":""Audio Technica BP4025""}",,Mystery,mystery,,Mystery mystery,species,Animalia,Mysteridae,Animalia|Mysteridae,ICZN,,Identity unknown,9.7287,53.1223,WGS84,Germany,Schneverdingen,60 m,ChristianSW,2025-04-12,14:30,2025-04-12,habitat: bog; animal seen:no; playback used:no,,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987566,,ChristianSW,CC BY-NC
987124@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987124,XC987124,HumanObservation,Wildlife sounds - Frogs,,,Andinobates,supata,,Andinobates supata,species,Animalia,Dendrobatidae,Animalia|ANURA|Dendrobatidae,ICZN,,Supatá Golden Poison Frog,,,,Colombia,Supata,1780 m,Nicolas Betancourt Cardona,2024-12-22,10:00,2024-12-22,animal seen:yes; playback used:no,advertisement call,male,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987124,,Nicolas Betancourt Cardona,CC BY-NC
987080@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987080,XC987080,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Roland"",""microphone"":""Sennheiser"",""airTemperatureInCelsius"":""20""}",,Hyperolius,rwandae,,Hyperolius rwandae,species,Animalia,Hyperoliidae,Animalia|ANURA|Hyperoliidae,ICZN,,Rwanda Long Reed Frog,30.1449,-1.9515,WGS84,Rwanda,"Ndera (near  Kigali), Gasabo, Kigali City",1400 m,Ruben Foquet,2025-04-10,20:00,2025-04-10,Photos are here: https://www.inaturalist.org/observations/269662350; animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987080,has background sounds: Kassina senegalensis|Hyperolius kivuensis,Ruben Foquet,CC BY-NC
987050@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987050,XC987050,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DAP1 DAT"",""microphone"":""Sony ECM-MS907""}",,Rana,temporaria,,Rana temporaria,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Common Frog,-1.7665,47.5799,WGS84,France,"Arrondissement de Châteaubriant-Ancenis (near  Le Gâvre), Loire-Atlantique, Pays de la Loire",50 m,Olivier SWIFT,2004-01-16,22:10,2004-01-16,animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987050,,Olivier SWIFT,CC BY-NC
987049@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987049,XC987049,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DAP1 DAT"",""microphone"":""Sony ECM-MS907""}",,Rana,temporaria,,Rana temporaria,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Common Frog,-1.7665,47.5799,WGS84,France,"Arrondissement de Châteaubriant-Ancenis (near  Le Gâvre), Loire-Atlantique, Pays de la Loire",50 m,Olivier SWIFT,2004-01-16,22:06,2004-01-16,animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987049,,Olivier SWIFT,CC BY-NC
987048@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987048,XC987048,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DAP1 DAT"",""microphone"":""Sony ECM-MS907""}",,Rana,temporaria,,Rana temporaria,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Common Frog,-1.7665,47.5799,WGS84,France,"Arrondissement de Châteaubriant-Ancenis (near  Le Gâvre), Loire-Atlantique, Pays de la Loire",50 m,Olivier SWIFT,2004-01-16,22:05,2004-01-16,animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987048,,Olivier SWIFT,CC BY-NC
987047@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987047,XC987047,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DAP1 DAT"",""microphone"":""Sony ECM-MS907""}",,Rana,temporaria,,Rana temporaria,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Common Frog,-1.7665,47.5799,WGS84,France,"Arrondissement de Châteaubriant-Ancenis (near  Le Gâvre), Loire-Atlantique, Pays de la Loire",50 m,Olivier SWIFT,2004-01-16,22:05,2004-01-16,animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987047,,Olivier SWIFT,CC BY-NC
987046@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987046,XC987046,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DAP1 DAT"",""microphone"":""Sony ECM-MS907""}",,Rana,temporaria,,Rana temporaria,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Common Frog,-1.7665,47.5799,WGS84,France,"Arrondissement de Châteaubriant-Ancenis (near  Le Gâvre), Loire-Atlantique, Pays de la Loire",50 m,Olivier SWIFT,2004-01-16,22:00,2004-01-16,animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987046,,Olivier SWIFT,CC BY-NC
987045@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987045,XC987045,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DAP1 DAT"",""microphone"":""Sony ECM-MS907""}",,Rana,temporaria,,Rana temporaria,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Common Frog,-1.7569,47.5115,WGS84,France,"Arrondissement de Châteaubriant-Ancenis (near  Le Gâvre), Loire-Atlantique, Pays de la Loire, la Grée",30 m,Olivier SWIFT,2004-01-13,22:00,2004-01-13,animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987045,,Olivier SWIFT,CC BY-NC
987044@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC987044,XC987044,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DAP1 DAT"",""microphone"":""Sony ECM-MS907""}",,Rana,temporaria,,Rana temporaria,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Common Frog,-1.7549,47.5143,WGS84,France,"Arrondissement de Châteaubriant-Ancenis (near  Le Gâvre), Loire-Atlantique, Pays de la Loire, Anglechais",30 m,Olivier SWIFT,2004-01-11,23:00,2004-01-11,When a recorder falls in water...; animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC987044,,Olivier SWIFT,CC BY-NC
